timestamp,source,event_type,severity,message,zone,wafer_lot,value,unit,setpoint,limit_low,limit_high
2026-04-20T00:05:00Z,tool_PECVD-01,temperature_reading,INFO,Chamber wall temperature within spec,Fab Bay 3,LOT-88400,385.2,degC,385.0,375.0,395.0
2026-04-20T00:10:00Z,tool_PECVD-01,pressure_reading,INFO,Process pressure stable during deposition,Fab Bay 3,LOT-88400,7.01,mTorr,7.0,6.5,7.5
2026-04-20T00:15:00Z,tool_PECVD-01,rf_power_reading,INFO,RF power delivery nominal,Fab Bay 3,LOT-88400,299.8,W,300.0,290.0,310.0
2026-04-20T00:30:00Z,tool_ETCH-03,dc_bias_reading,INFO,DC bias stable during main etch,Etch Bay 1,LOT-88405,-285.0,V,-280.0,-300.0,-260.0
2026-04-20T00:35:00Z,tool_ETCH-03,temperature_reading,WARNING,Electrostatic chuck temperature elevated,Etch Bay 1,LOT-88405,62.3,degC,55.0,40.0,60.0
2026-04-20T00:40:00Z,tool_ETCH-03,temperature_reading,ERROR,ESC temperature critically high — chuck failure risk,Etch Bay 1,LOT-88405,71.8,degC,55.0,40.0,60.0
2026-04-20T01:00:00Z,device_PUMP-CVD-02,vibration_reading,INFO,Dry pump vibration within normal range,Fab Bay 2,,1.2,mm/s,,,3.5
2026-04-20T01:05:00Z,device_PUMP-CVD-02,vibration_reading,WARNING,Dry pump vibration increasing — bearing wear possible,Fab Bay 2,,2.9,mm/s,,,3.5
2026-04-20T01:10:00Z,device_PUMP-CVD-02,vibration_reading,CRITICAL,Dry pump vibration exceeded limit — emergency shutoff,Fab Bay 2,,4.1,mm/s,,,3.5
2026-04-20T02:00:00Z,machine_GAS-PANEL-02,flow_reading,INFO,SiH4 MFC flow on target,Gas Cabinet B,LOT-88412,200.1,sccm,200.0,190.0,210.0
2026-04-20T02:05:00Z,machine_GAS-PANEL-02,flow_reading,WARNING,SiH4 MFC flow below lower limit,Gas Cabinet B,LOT-88412,185.3,sccm,200.0,190.0,210.0
2026-04-20T02:10:00Z,machine_GAS-PANEL-02,flow_reading,ERROR,SiH4 MFC flow critically low — deposition quality impacted,Gas Cabinet B,LOT-88412,162.7,sccm,200.0,190.0,210.0
2026-04-20T03:00:00Z,tool_CMP-01,removal_rate_reading,INFO,Cu CMP removal rate on target,CMP Bay 1,LOT-88420,520.0,A/min,500.0,450.0,550.0
2026-04-20T03:05:00Z,tool_CMP-01,removal_rate_reading,WARNING,Cu removal rate below spec — slurry may be degraded,CMP Bay 1,LOT-88420,437.0,A/min,500.0,450.0,550.0
2026-04-20T03:10:00Z,tool_CMP-01,removal_rate_reading,ERROR,Cu removal rate critically low — lot at risk of non-uniform planarization,CMP Bay 1,LOT-88420,388.0,A/min,500.0,450.0,550.0
2026-04-20T04:00:00Z,tool_LITHO-SCANNER-07,overlay_reading,INFO,Overlay measurement within spec on M2 layer,Lithography Bay,LOT-88430,1.8,nm,,,-5.0
2026-04-20T04:05:00Z,tool_LITHO-SCANNER-07,overlay_reading,WARNING,Overlay approaching limit on M2 layer,Lithography Bay,LOT-88430,4.3,nm,,,-5.0
2026-04-20T04:10:00Z,tool_LITHO-SCANNER-07,overlay_reading,ERROR,Overlay out of spec on M2 layer — lot requires rework,Lithography Bay,LOT-88430,6.1,nm,,,-5.0
2026-04-20T05:00:00Z,device_CHILLER-ETCH-01,coolant_temp_reading,INFO,Chiller outlet temperature nominal,Etch Bay 2,,18.1,degC,18.0,17.0,19.0
2026-04-20T05:05:00Z,device_CHILLER-ETCH-01,coolant_temp_reading,WARNING,Chiller outlet temp above upper limit,Etch Bay 2,,19.8,degC,18.0,17.0,19.0
2026-04-20T06:00:00Z,tool_DIFFUSION-02,oxygen_concentration,INFO,Ambient O2 within spec during inert anneal,Diffusion Bay,LOT-88445,0.8,ppm,,0.0,2.0
2026-04-20T06:05:00Z,tool_DIFFUSION-02,oxygen_concentration,ERROR,O2 spike detected during anneal — wafer oxidation risk,Diffusion Bay,LOT-88445,8.4,ppm,,0.0,2.0
2026-04-20T07:00:00Z,tool_IMPLANT-01,dose_reading,INFO,As implant dose on target,Implant Bay,LOT-88451,1.01e14,ions/cm2,1.0e14,9.5e13,1.05e14
2026-04-20T07:05:00Z,tool_IMPLANT-01,dose_reading,WARNING,As implant dose slightly above upper spec,Implant Bay,LOT-88451,1.07e14,ions/cm2,1.0e14,9.5e13,1.05e14
